"Year","Period","Geo Level","State","State ANSI","category","measurement","Value"
2024,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","$ / CWT","10.9"
2024,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","$ / TON","4.04"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","123"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","142"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","43.8"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","121"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","147"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","142"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","43.8"
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"56,800"
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"57,300"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,398,943,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","27,560,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,378,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","485"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","24.26"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / CWT","120"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","120"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","$ / CWT","10.8"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,173,579,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,382,200"
2023,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","33,400"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / TON","44.4"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","44.4"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","$ / TON","4.05"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","225,364,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,144,400"
2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","27,526,600"
2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,376,330"
2023,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"42,700"
2023,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"43,100"
2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,965,387,000"
2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,600,000"
2023,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","575"
2023,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
2023,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2023,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","24,600"
2023,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
2023,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2023,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","24,575,400"
2023,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"14,100"
2023,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"14,200"
2023,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","433,556,000"
2023,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,960,000"
2023,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","210"
2023,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
2023,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2023,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","8,800"
2023,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
2023,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2023,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,951,200"
2023,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,173,579,000"
2023,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,382,200"
2023,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
2023,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","225,364,000"
2023,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,144,400"
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","114"
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","135"
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","27.1"
2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","108"
2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","169"
2022,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2022,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
2022,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","135"
2022,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","27.1"
2022,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"56,300"
2022,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"56,400"
2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,259,100,000"
2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","28,520,000"
2022,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,426,000"
2022,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","507"
2022,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","25.33"
2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / CWT","116"
2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","116"
2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,112,100,000"
2022,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,077,600"
2022,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","25,700"
2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / TON","43.5"
2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","43.5"
2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","147,000,000"
2022,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,416,700"
2022,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","28,494,300"
2022,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,424,715"
2022,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"43,500"
2022,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"43,600"
2022,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,781,768,000"
2022,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","25,700,000"
2022,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","590"
2022,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
2022,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2022,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","25,700"
2022,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
2022,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2022,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","25,674,300"
2022,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"12,800"
2022,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"12,800"
2022,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","477,332,000"
2022,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,820,000"
2022,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","220"
2022,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
2022,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2022,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
2022,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
2022,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2022,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,820,000"
2022,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
2022,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
2022,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
2022,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
2022,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
2022,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,112,100,000"
2022,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,077,600"
2022,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
2022,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","147,000,000"
2022,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,416,700"
2022,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","129"
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","143"
2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","64"
2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","125"
2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","160"
2021,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2021,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
2021,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","143"
2021,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","64"
2021,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"52,500"
2021,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"52,500"
2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,583,960,000"
2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","27,930,000"
2021,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,396,500"
2021,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","532"
2021,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","26.6"
2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","$ / CWT","111"
2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,253,959,000"
2021,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,697,900"
2021,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","75,300"
2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","$ / TON","44.1"
2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","330,001,000"
2021,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,156,800"
2021,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","27,854,700"
2021,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,392,735"
2021,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"40,200"
2021,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"40,200"
2021,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","3,132,279,000"
2021,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","25,100,000"
2021,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","625"
2021,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
2021,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2021,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","75,300"
2021,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
2021,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2021,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","25,024,700"
2021,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"12,300"
2021,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"12,300"
2021,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","451,681,000"
2021,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,830,000"
2021,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","230"
2021,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
2021,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2021,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
2021,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
2021,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2021,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,830,000"
2021,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
2021,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
2021,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
2021,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
2021,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
2021,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","3,253,959,000"
2021,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","22,697,900"
2021,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
2021,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","330,001,000"
2021,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,156,800"
2021,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","97.1"
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","111"
2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","38.1"
2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","93.1"
2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","139"
2020,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2020,"MARKETING YEAR","STATE","OTHER STATES",NA," PRICE RECEIVED ","$ / CWT","0"
2020,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","111"
2020,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","38.1"
2020,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"49,300"
2020,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"49,700"
2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","2,591,759,000"
2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","26,740,000"
2020,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,337,000"
2020,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","542"
2020,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","27.12"
2020,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","2,404,152,000"
2020,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","21,756,400"
2020,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","55,800"
2020,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","187,607,000"
2020,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,927,800"
2020,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","26,684,200"
2020,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,334,210"
2020,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"37,600"
2020,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"38,000"
2020,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,267,175,000"
2020,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,400,000"
2020,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","650"
2020,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
2020,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2020,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","48,800"
2020,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
2020,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2020,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","24,351,200"
2020,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"11,700"
2020,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"11,700"
2020,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","324,584,000"
2020,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,340,000"
2020,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","200"
2020,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
2020,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2020,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","7,000"
2020,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
2020,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2020,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,333,000"
2020,"YEAR","STATE","OTHER STATES",NA," ACRES HARVESTED",NA,"0"
2020,"YEAR","STATE","OTHER STATES",NA," ACRES PLANTED",NA,"0"
2020,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","$","0"
2020,"YEAR","STATE","OTHER STATES",NA," PRODUCTION ","CWT","0"
2020,"YEAR","STATE","OTHER STATES",NA," YIELD ","CWT / ACRE","0"
2020,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","2,404,152,000"
2020,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","21,756,400"
2020,"YEAR","STATE","OTHER STATES",NA," NOT SOLD - PRODUCTION ","CWT","0"
2020,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","187,607,000"
2020,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,927,800"
2020,"YEAR","STATE","OTHER STATES",NA," UTILIZED - PRODUCTION ","CWT","0"
2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","115"
2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","130"
2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","52.8"
2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","110"
2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
