"Year","Period","Geo Level","State","State ANSI","category","measurement","Value"
2019,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","152"
2019,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2019,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","130"
2019,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","52.8"
2019,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"45,400"
2019,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"45,800"
2019,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","2,749,961,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","23,980,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,199,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","528"
2019,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","26.41"
2019,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","2,501,482,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","19,251,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","21,300"
2019,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","248,479,000"
2019,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,707,700"
2019,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","23,958,700"
2019,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TONS","1,197,935"
2019,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"34,900"
2019,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"35,300"
2019,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,342,148,000"
2019,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","21,300,000"
2019,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","610"
2019,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","(D)"
2019,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2019,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","21,300"
2019,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","(D)"
2019,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2019,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","21,278,700"
2019,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"10,500"
2019,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"10,500"
2019,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","407,813,000"
2019,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,680,000"
2019,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","255"
2019,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","(D)"
2019,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2019,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
2019,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","(D)"
2019,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2019,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,680,000"
2019,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","2,501,482,000"
2019,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","19,251,000"
2019,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","248,479,000"
2019,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","4,707,700"
2018,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","93.5"
2018,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","106"
2018,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","43.7"
2018,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / TON","760"
2018,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","90.9"
2018,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","104"
2018,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","42.2"
2018,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / TON","730"
2018,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","115"
2018,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","115"
2018,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","0"
2018,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / TON","0"
2018,"MARKETING YEAR","STATE","NEW YORK","36"," PRICE RECEIVED ","$ / CWT","204"
2018,"MARKETING YEAR","STATE","NEW YORK","36"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2018,"MARKETING YEAR","STATE","NEW YORK","36"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2018,"MARKETING YEAR","STATE","NORTH CAROLINA","37"," PRICE RECEIVED ","$ / CWT","171"
2018,"MARKETING YEAR","STATE","NORTH CAROLINA","37"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","171"
2018,"MARKETING YEAR","STATE","NORTH CAROLINA","37"," PROCESSING - PRICE RECEIVED ","$ / CWT","0"
2018,"MARKETING YEAR","STATE","NORTH CAROLINA","37"," PROCESSING - PRICE RECEIVED ","$ / TON","0"
2018,"MARKETING YEAR","STATE","OREGON","41"," PRICE RECEIVED ","$ / CWT","107"
2018,"MARKETING YEAR","STATE","OREGON","41"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2018,"MARKETING YEAR","STATE","OREGON","41"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2018,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","212"
2018,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","88"
2018,"MARKETING YEAR","STATE","WASHINGTON","53"," PRICE RECEIVED ","$ / CWT","107"
2018,"MARKETING YEAR","STATE","WASHINGTON","53"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2018,"MARKETING YEAR","STATE","WASHINGTON","53"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2018,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"49,320"
2018,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"49,800"
2018,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","2,472,447,000"
2018,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","26,480,000"
2018,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","537"
2018,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","2,242,706,000"
2018,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","21,196,100"
2018,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","25,100"
2018,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","229,741,000"
2018,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,258,800"
2018,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","TONS","284,740"
2018,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","26,454,900"
2018,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"36,300"
2018,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"36,300"
2018,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,179,066,000"
2018,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,000,000"
2018,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","660"
2018,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","1,964,352,000"
2018,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","18,888,000"
2018,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","24,000"
2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","214,714,000"
2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","5,088,000"
2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","TONS","276,358"
2018,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","23,976,000"
2018,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"9,400"
2018,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"9,400"
2018,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","243,800,000"
2018,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,120,000"
2018,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","225"
2018,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","243,800,000"
2018,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","2,120,000"
2018,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
2018,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","0"
2018,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
2018,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
2018,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,120,000"
2018,"YEAR","STATE","NEW YORK","36"," ACRES HARVESTED",NA,"700"
2018,"YEAR","STATE","NEW YORK","36"," ACRES PLANTED",NA,"800"
2018,"YEAR","STATE","NEW YORK","36"," PRODUCTION ","$","6,065,000"
2018,"YEAR","STATE","NEW YORK","36"," PRODUCTION ","CWT","30,000"
2018,"YEAR","STATE","NEW YORK","36"," YIELD ","CWT / ACRE","44"
2018,"YEAR","STATE","NEW YORK","36"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","NEW YORK","36"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","NEW YORK","36"," NOT SOLD - PRODUCTION ","CWT","200"
2018,"YEAR","STATE","NEW YORK","36"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","NEW YORK","36"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","NEW YORK","36"," UTILIZED - PRODUCTION ","CWT","29,800"
2018,"YEAR","STATE","NORTH CAROLINA","37"," ACRES HARVESTED",NA,"1,000"
2018,"YEAR","STATE","NORTH CAROLINA","37"," ACRES PLANTED",NA,"1,100"
2018,"YEAR","STATE","NORTH CAROLINA","37"," PRODUCTION ","$","22,230,000"
2018,"YEAR","STATE","NORTH CAROLINA","37"," PRODUCTION ","CWT","130,000"
2018,"YEAR","STATE","NORTH CAROLINA","37"," YIELD ","CWT / ACRE","125"
2018,"YEAR","STATE","NORTH CAROLINA","37"," FRESH MARKET - PRODUCTION ","$","22,230,000"
2018,"YEAR","STATE","NORTH CAROLINA","37"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","130,000"
2018,"YEAR","STATE","NORTH CAROLINA","37"," NOT SOLD - PRODUCTION ","CWT","0"
2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING - PRODUCTION ","$","0"
2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
2018,"YEAR","STATE","NORTH CAROLINA","37"," UTILIZED - PRODUCTION ","CWT","130,000"
2018,"YEAR","STATE","OREGON","41"," ACRES HARVESTED",NA,"1,100"
2018,"YEAR","STATE","OREGON","41"," ACRES PLANTED",NA,"1,300"
2018,"YEAR","STATE","OREGON","41"," PRODUCTION ","$","11,687,000"
2018,"YEAR","STATE","OREGON","41"," PRODUCTION ","CWT","110,000"
2018,"YEAR","STATE","OREGON","41"," YIELD ","CWT / ACRE","100"
2018,"YEAR","STATE","OREGON","41"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","OREGON","41"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","OREGON","41"," NOT SOLD - PRODUCTION ","CWT","700"
2018,"YEAR","STATE","OREGON","41"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","OREGON","41"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","OREGON","41"," UTILIZED - PRODUCTION ","CWT","109,300"
2018,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","12,324,000"
2018,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","58,100"
2018,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","15,027,000"
2018,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","170,800"
2018,"YEAR","STATE","WASHINGTON","53"," ACRES HARVESTED",NA,"820"
2018,"YEAR","STATE","WASHINGTON","53"," ACRES PLANTED",NA,"900"
2018,"YEAR","STATE","WASHINGTON","53"," PRODUCTION ","$","9,599,000"
2018,"YEAR","STATE","WASHINGTON","53"," PRODUCTION ","CWT","90,000"
2018,"YEAR","STATE","WASHINGTON","53"," YIELD ","CWT / ACRE","105"
2018,"YEAR","STATE","WASHINGTON","53"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","WASHINGTON","53"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","WASHINGTON","53"," NOT SOLD - PRODUCTION ","CWT","200"
2018,"YEAR","STATE","WASHINGTON","53"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR","STATE","WASHINGTON","53"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR","STATE","WASHINGTON","53"," UTILIZED - PRODUCTION ","CWT","89,800"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"49,920"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"50,600"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,371,461,000"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","31,764,900"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","636.3"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,154,923,000"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","26,040,000"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","30,100"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","216,538,000"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,694,800"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","TONS","284,740"
2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","31,734,800"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"36,400"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"36,500"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PRODUCTION ","$","3,030,953,000"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","28,938,000"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","795"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","2,829,210,000"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,381,900"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","28,900"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","201,743,000"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","5,527,200"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","TONS","276,358"
2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","28,909,100"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"9,900"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," ACRES PLANTED",NA,"10,000"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PRODUCTION ","$","292,050,000"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,475,000"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","250"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","292,050,000"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","2,475,000"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","0"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,475,000"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," ACRES HARVESTED",NA,"700"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," ACRES PLANTED",NA,"800"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PRODUCTION ","$","6,229,000"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PRODUCTION ","CWT","30,800"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," YIELD ","CWT / ACRE","44"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," NOT SOLD - PRODUCTION ","CWT","200"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," UTILIZED - PRODUCTION ","CWT","30,600"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," ACRES HARVESTED",NA,"1,000"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," ACRES PLANTED",NA,"1,100"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PRODUCTION ","$","21,375,000"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PRODUCTION ","CWT","125,000"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," YIELD ","CWT / ACRE","125"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," FRESH MARKET - PRODUCTION ","$","21,375,000"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","125,000"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," NOT SOLD - PRODUCTION ","CWT","0"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING - PRODUCTION ","$","0"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," UTILIZED - PRODUCTION ","CWT","125,000"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," ACRES HARVESTED",NA,"1,100"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," ACRES PLANTED",NA,"1,300"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PRODUCTION ","$","11,687,000"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PRODUCTION ","CWT","110,000"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," YIELD ","CWT / ACRE","100"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," NOT SOLD - PRODUCTION ","CWT","700"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," UTILIZED - PRODUCTION ","CWT","109,300"
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","12,288,000"
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","58,100"
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","14,795,000"
2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","167,600"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," ACRES HARVESTED",NA,"820"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," ACRES PLANTED",NA,"900"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PRODUCTION ","$","9,167,000"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PRODUCTION ","CWT","86,100"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," YIELD ","CWT / ACRE","105"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," FRESH MARKET - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," NOT SOLD - PRODUCTION ","CWT","300"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PROCESSING - PRODUCTION ","$","(D)"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," UTILIZED - PRODUCTION ","CWT","85,800"
